"","X","OR","slide","ML","DV","AP"
"1",1,"Olfr97",1,-379.435646998438,-1322.74802367529,4000
"2",2,"Olfr869",1,-346.060206926432,-778.982908942831,4000
"3",3,"Olfr360",3,-335.020840062575,-3179.63449123677,12000
"4",5,"Olfr487",3,-641.411038224352,-347.540761877069,12000
"5",6,"Olfr771",3,521.01135131204,-3022.90876895656,12000
"6",7,"Olfr855",3,-724.983657652088,-853.666388853206,12000
"7",8,"Olfr99",4,-743.48,-1042.44,16000
"8",18,"Olfr1420",5,-2089.28571428571,-3401.72857142857,20000
"9",20,"Olfr654",6,-581.049881561274,-1372.25146841551,24000
"10",21,"Olfr784",6,-1449.00888864397,-2352.34154949174,24000
"11",22,"Olfr788",6,-663.543781039115,-2916.25303841113,24000
"12",23,"Olfr791",6,-437.369479657536,-2285.37828579017,24000
"13",24,"Olfr798",6,-507.975930368832,-2240.65362404798,24000
"14",25,"Olfr1318",6,-595.113424562536,-3349.49774770913,24000
"15",26,"Olfr1428",6,-425.542291967516,-3586.99882885614,24000
"16",28,"Olfr121",7,-679.932106477348,-3612.71196274664,28000
"17",30,"Olfr683",7,-616.886825236149,77.5996765886094,28000
"18",31,"Olfr1000",7,-771.154506284895,-1973.9837472779,28000
"19",38,"Olfr16",9,-560.694982672563,-1655.27169035317,36000
"20",39,"Olfr118",9,-1389.15594389014,-2760.27877500345,36000
"21",40,"Olfr129",9,-804.235195922281,-2905.18947176744,36000
"22",44,"Olfr464",9,-700.120683218746,-2534.43832400529,36000
"23",45,"Olfr640",9,-1114.27185496184,-952.339109861682,36000
"24",46,"Olfr1030",9,-653.009495633097,-1383.29277789512,36000
"25",47,"Olfr1031",9,-710.608632507714,-1251.2815944435,36000
"26",48,"Olfr1189",9,-1332.94044282647,-2548.42563353212,36000
"27",49,"Olfr1288",9,-1376.45427946838,-3962.55394803019,36000
"28",50,"Olfr1357",9,-769.109170698764,-1300.18946222934,36000
"29",52,"Olfr414",10,-367.475385749091,-3954.00513148211,40000
"30",53,"Olfr578",10,-1323.12638494928,-779.311703989728,40000
"31",54,"Olfr722",10,-275.69149339139,-3881.07883394641,40000
"32",55,"Olfr987",10,-705.171774742642,-1418.61338877463,40000
"33",56,"Olfr1018",10,-718.36803058863,-2787.78101890148,40000
"34",57,"Olfr1045",10,-1295.91234976838,-1593.91380704774,40000
"35",58,"Olfr120",11,-1023.03567832414,-2500.37647573069,44000
"36",60,"Olfr745",11,-1445.00404350509,-1371.8049764165,44000
"37",63,"Olfr723",12,-841.74930064065,-4077.87006826051,48000
"38",64,"Olfr1110",12,-745.995670847759,-3344.03116363835,48000
"39",65,"Olfr1295",12,-671.673381120632,-3770.00054017817,48000
"40",67,"Olfr309",13,-930.702279794886,-3125.55418351636,52000
"41",68,"Olfr350",13,-1186.34589315985,-1290.0758975303,52000
"42",71,"Olfr1501",13,-788.355624270305,-2214.61138406893,52000
"43",73,"Olfr491",15,-565.285714285714,-3051.35714285714,60000
"44",74,"Olfr727",15,-345,-4019.45,60000
"45",75,"Olfr1299",15,-437.55,-3553,60000
"46",76,"Olfr910",16,-650.249606995907,-1083.29454219096,64000
"47",77,"Olfr1135",16,-1111.19772494527,-1196.91346968078,64000
"48",78,"Olfr1477",17,-977.206018721036,-1686.33365268576,68000
