"OR","slide","ML","DV","AP","mouse"
"Olfr566",4,-301.652290117567,89.523444028494,356,2
"Olfr592",4,-362.19009496618,-85.6650750664736,356,2
"Olfr804",5,-510.15732331506,-1752.43174858782,445,2
"Olfr822",5,-336.181239134885,-949.672666666327,445,2
"Olfr78",6,-445.506453186257,-239.689756966384,534,2
"Olfr672",6,-481.780972826528,-757.614648833094,534,2
"Olfr598",8,-518.9612869401,-729.700076664582,712,2
"Olfr798",8,-670.07615652007,-1306.34110794815,712,2
"Olfr791",9,-807.005497695304,-1345.14866514802,801,2
"Olfr1030",9,-675.080979370993,-835.452374000691,801,2
"Olfr1357",9,-546.083314699043,-726.063793024102,801,2
"Olfr481",10,-527.333484868802,-847.567805708164,890,2
"Olfr433",11,-401.468110194373,-469.046887658527,979,2
"Olfr479",11,-741.410825677405,-1413.09205799586,979,2
"Olfr771",11,-854.641954097628,-1877.68773042663,979,2
"Olfr969",11,-619.070930303634,-800.13043950835,979,2
"Olfr987",11,-446.664677076796,-790.02244007611,979,2
"Olfr1000",11,-1110.32062926832,-1260.01384235596,979,2
"Olfr1048",11,-537.460806680525,-711.417147709206,979,2
"Olfr73",12,-1056.6609826339,-624.47297937374,1068,2
"Olfr517",12,-677.731831088808,-1040.17745651053,1068,2
"Olfr963",12,-801.056927159859,-1158.12577147969,1068,2
"Olfr994",12,-841.747765047745,-343.031962874894,1068,2
"Olfr1086",12,-754.727292608263,-189.045467863123,1068,2
"Olfr55",13,-843.9572652954,-1901.23399342919,1157,2
"Olfr749",13,-722.412016589345,-1180.54845559932,1157,2
"Olfr1123",13,-802.486192271162,-2168.31341220662,1157,2
"Olfr1252",13,-870.642485752445,-2103.06649431893,1157,2
"Olfr1420",13,-805.818222148017,-2096.3755211644,1157,2
"Olfr1424",13,-666.360140362137,-2329.05210761784,1157,2
"Olfr1428",13,-719.293884506379,-2162.12111492828,1157,2
"Olfr47",14,-794.442846915628,-1480.34446540577,1246,2
"Olfr376",14,-411.716825380927,-339.954826749044,1246,2
"Olfr1384",14,-298.587212078913,-2528.78823579869,1246,2
"Olfr1189",15,-1158.4874010319,-1569.20365054883,1335,2
"Olfr1217",15,-807.033858702557,-1557.43472007138,1335,2
"Olfr1250",15,-746.538580428195,-1855.27876071476,1335,2
"Olfr1260",15,62.6714777299226,-2547.32536309241,1335,2
"Olfr1496",15,-689.558804425632,-749.967278804162,1335,2
"Olfr122",16,-807.395474035626,-1899.00940244219,1424,2
"Olfr1364",16,-731.408599992847,-2315.10863663699,1424,2
"Olfr212",17,-734.663174751073,-2316.07408969824,1513,2
"Olfr1013",17,-763.487565469727,-929.011266405912,1513,2
"Olfr1229",17,-399.82091927476,-2738.3089673003,1513,2
"Olfr309",18,-852.477765719095,-1949.11836669212,1602,2
"Olfr414",18,-676.535053756774,-2390.80877603276,1602,2
"Olfr722",18,-761.246159509772,-2311.18592998843,1602,2
"Olfr728",18,-423.613117301738,-2761.02232332373,1602,2
"Olfr1288",18,-773.353193194689,-2177.71611538855,1602,2
